theta_11,theta_12,theta_21,theta_22,classical_max_angle,quantum_max_angle,classical_max_value,quantum_max_value
0.0,0.75,0.0,3.0,155.69666019942113,135.56326985758474,2.7174193548387096,2.3660254037844384
2.25,3.0,2.25,3.0,114.59155902616465,114.59155902616465,2.0,2.0
1.0,0.0,0.75,3.0,149.6787846420682,152.80569365031522,2.612387612387612,2.6669624699917933
2.0,0.75,2.0,3.0,163.36704653490304,125.45280804605282,2.8512928512928517,2.189564556276056
3.0,3.0,3.0,0.0,146.91225516174953,114.59155902616467,2.564102564102564,2.0000000000000004
3.0,3.0,3.0,0.75,151.10974816637096,114.59155902616467,2.6373626373626373,2.0000000000000004
0.0,0.75,1.5,3.0,140.51202986554924,120.14771089293814,2.45239755981444,2.096973143816027
2.25,1.5,0.0,2.0,122.17642888551552,114.59155902616465,2.1323809523809523,2.0
2.25,1.5,0.0,2.25,153.69985274272537,132.65523096564314,2.6825684901909947,2.31527055034401
2.25,0.75,3.0,3.0,120.95076092816608,114.59155902616465,2.110989010989011,2.0
1.0,0.75,1.0,1.0,146.54497452384516,114.59155902616465,2.5576923076923075,2.0
1.0,0.75,1.0,1.5,171.62022534804376,114.59155902616465,2.995337995337995,2.0
1.5,2.25,0.75,0.0,147.5201679417292,114.59155902616465,2.574712643678161,2.0
1.5,2.25,0.75,0.75,122.84595021921228,114.59155902616465,2.144066304066304,2.0
1.0,0.75,2.0,2.0,128.02643146371497,114.59155902616465,2.2344827586206897,2.0
1.0,0.75,2.0,2.25,144.6858042304532,114.59155902616465,2.525243664717349,2.0
0.75,1.5,2.25,0.0,127.17926816161456,114.59155902616465,2.2196969696969697,2.0
0.75,1.5,2.25,0.75,119.17522138721124,143.23944878270586,2.08,2.500000000000001
2.25,2.25,2.0,2.0,119.80026625462666,114.59155902616465,2.090909090909091,2.0
2.25,2.25,2.0,2.25,114.59155902616465,114.59155902616465,2.0,2.0
0.75,0.0,2.0,1.0,124.14085561167836,157.40309486613612,2.1666666666666665,2.747202258243058
0.75,0.0,2.0,1.5,144.45182029277885,151.6225391690556,2.5211598746081503,2.646312528734087
1.5,3.0,1.0,3.0,152.40213417042546,141.5593405200051,2.659919028340081,2.4706765790259104
2.0,1.0,0.75,3.0,147.11793231897596,118.14958992706218,2.5676923076923077,2.062099354108362
0.0,0.0,2.0,2.0,120.76484166730482,114.59155902616465,2.107744107744108,2.0
0.0,0.0,2.0,2.25,135.98198337771535,114.59155902616465,2.373333333333333,2.0
0.75,3.0,1.0,1.0,128.25693172612392,114.59155902616465,2.2385057471264367,2.0
0.75,3.0,1.0,1.5,136.62079839067732,159.1650649121649,2.3844827586206896,2.777954436867776
0.75,3.0,2.0,2.0,130.37277869353966,114.59155902616465,2.2754342431761785,2.0
0.75,3.0,2.0,2.25,143.08842283204044,151.91830574766766,2.4973640999049347,2.6514746293482263
3.0,0.75,2.25,3.0,135.66011198231556,132.65523096564314,2.367715617715618,2.31527055034401
3.0,1.5,3.0,0.0,123.2313987940104,143.2394487827058,2.1507936507936507,2.5
3.0,1.5,3.0,0.75,151.96333490473606,139.72751716024436,2.6522605363984675,2.438705230083141
0.0,0.75,2.0,2.0,151.37782461105255,114.59155902616465,2.6420414539693717,2.0
0.0,0.75,2.0,2.25,159.85378885705074,141.90536230766233,2.7899749373433584,2.4767157985041663
2.0,1.0,1.0,0.0,119.35151609340532,143.15451052985026,2.083076923076923,2.498517547826779
0.75,1.5,0.75,3.0,161.14437988054402,139.72751716024436,2.8125,2.438705230083141
2.0,1.0,1.0,0.75,157.03287718400338,132.30337901627436,2.7407407407407405,2.309129575347964
2.0,1.5,2.0,3.0,138.93701845296889,132.65368898186176,2.424908424908425,2.315243637650012
0.75,1.0,2.0,2.0,127.32395447351628,114.59155902616465,2.2222222222222223,2.0
0.75,1.0,2.0,2.25,118.35296606400158,161.04213612693837,2.0656489373179414,2.8107155098599828
2.0,2.25,0.75,0.0,150.78647350351503,139.91842626328213,2.631720430107527,2.4420372225031794
2.0,2.25,0.75,0.75,131.45001645683098,114.59155902616465,2.2942355889724317,2.0
0.0,0.75,3.0,3.0,127.61656231920074,114.59155902616465,2.227329192546584,2.0
1.5,1.5,1.5,0.0,150.79493619102436,114.59155902616467,2.631868131868132,2.0000000000000004
1.5,1.5,1.5,0.75,147.66552343099994,114.59155902616467,2.577249575551783,2.0000000000000004
2.25,2.0,2.25,2.0,114.59155902616465,114.59155902616465,2.0,2.0
2.25,2.0,2.25,2.25,144.22730705017273,114.59155902616465,2.5172413793103448,2.0
2.25,0.0,2.0,0.0,158.24548627422735,142.8553249802712,2.761904761904762,2.493295774912236
2.25,0.0,2.0,0.75,140.59426786046345,134.47093490466457,2.453832883595931,2.3469605623213634
2.0,2.0,1.0,2.0,114.59155902616465,114.59155902616465,2.0,2.0
2.0,2.0,1.0,2.25,129.53828411653396,114.59155902616465,2.260869565217392,2.0
1.0,2.0,0.75,0.0,152.06161506088785,118.14958992706218,2.6539758487126908,2.062099354108362
1.0,2.0,0.75,0.75,126.93401345671012,114.59155902616465,2.2154164675903805,2.0
3.0,2.0,3.0,0.0,161.27700899978728,139.78409048024338,2.814814814814815,2.4396926207859084
3.0,2.0,3.0,0.75,130.69004930231006,142.801719494427,2.2809716599190284,2.492360182687124
1.5,3.0,0.75,1.0,125.49751429899962,129.6766165297801,2.1903448275862067,2.263283921290766
1.5,3.0,0.75,1.5,145.54139428847822,132.65523096564314,2.540176528277214,2.31527055034401
1.0,0.0,0.0,3.0,158.33766095169372,132.6536889818618,2.7635135135135136,2.3152436376500125
2.25,3.0,2.0,2.0,120.2091933421947,114.59155902616465,2.098046214987744,2.0
2.25,3.0,2.0,2.25,152.49492085789603,124.94729327555372,2.661538461538462,2.1807416591133832
1.5,2.0,1.0,2.0,143.10589218710422,114.59155902616465,2.4976689976689976,2.0
1.5,2.0,1.0,2.25,141.57870155044253,114.59155902616465,2.471014492753623,2.0
1.0,0.75,1.5,3.0,142.983626608039,125.78059765297596,2.495535060752452,2.1952855641706828
1.5,2.25,0.75,3.0,138.91733365818857,114.59155902616465,2.424564860426929,2.0
0.0,1.5,2.0,3.0,142.1876422022724,124.45122067099872,2.4816425120772947,2.172083558834954
0.75,1.5,2.25,3.0,114.59155902616465,157.01494044764232,2.0,2.740427685634178
